cell_id,tree_fraction,shrub_fraction,grass_fraction,built_fraction_wc,green_fraction_wc,impervious_fraction,osm_green_fraction,path_km,ndvi_mean,lst_rank,habitat_quality,richness_corrected,n_obs,species_shannon,corridor_importance,fragmentation_index,patch_area_ha,expected_richness,ecological_residual,underperformance,impact_score,resid_norm,corr_norm,composite,intervention_rank,connectivity_gain_pct,counterfactual_note,primary_action
326,0.9644970414201184,0,0,0.03550295857988166,0.9644970414201184,0.009539727829923628,0.9764593657209459,0.3985163580656987,NA,NA,0.972782197752732,3.6067376022224087,6,1.5607104090414063,0.2961876832844575,-2.25,0,340.4737692134562,-336.8670316112338,336.8670316112338,-48,0.9602446069108056,0.2961876832844575,0.661418991278949,1,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
295,1,0,0,0,1,0.001529891176848169,0.9754205007352744,0.20438637641053448,NA,NA,0.9959306023160791,2.8853900817779268,2,0.6931471805599453,0.2601591956430666,-1.875,0,348.5757108106277,-345.69032072884977,345.69032072884977,-49,0.9869539780770745,0.2601591956430666,0.659896325981771,2,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
78,1,0,0,0,1,0.004961368595856053,1,0.06696847008792778,NA,NA,0.9987596578510359,1.4426950408889634,1,0,0.24801005446166738,-3,132.85714285714286,349.5658802478626,-348.12318520697363,348.12318520697363,-50,0.9943186104128445,0.24801005446166738,0.6584797602348149,3,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
390,1,0,0,0,1,0.001472231675448299,0.9421044098520329,0.17204092697352508,NA,NA,0.9909476035589428,1.4426950408889634,1,0,0.19002932551319648,-2.625,0,346.83166124563,-345.38896620474105,345.38896620474105,-49,0.9860417343854353,0.19002932551319648,0.627836150392928,4,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
393,1,0,0,0,1,2.3132703245209996e-4,0.9978241147660905,0.19871207947363695,NA,NA,0.9996157854568005,7.213475204444817,5,1.6094379124341005,0.18701298701298702,-2.125,132.85714285714286,349.8655249098802,-342.6520497054354,342.6520497054354,-49,0.9777566926445848,0.18701298701298702,0.6219220251103659,5,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
421,1,0,0,0,1,0.008952752484614024,1,0.33521261614981923,NA,NA,0.9977618118788465,2.8853900817779268,2,0.6931471805599453,0.12191034771679933,-2.25,132.85714285714286,349.2166341575963,-346.33124407581835,346.33124407581835,-49,0.9888941456648206,0.12191034771679933,0.5987514365882111,6,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
19,1,0,0,0,1,0,1,0.16831166607853343,NA,NA,1,0,0,NA,0.10607596704370897,-1.875,132.85714285714286,350,-350,350,-50,1,0.10607596704370897,0.5977341851696691,7,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
18,1,0,0,0,1,0,1,0.10789175695451371,NA,NA,1,1.4426950408889634,2,0,0.08620444072056944,-2,132.85714285714286,350,-348.55730495911104,348.55730495911104,-50,0.9956327536349335,0.08620444072056944,0.5863900128234698,8,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
83,1,0,0,0,1,0,0.906751281756913,0,NA,NA,0.9860126922635369,0,0,NA,0.08152492668621701,-2.125,132.85714285714286,345.10444229223793,-345.10444229223793,345.10444229223793,-49,0.9851804393872298,0.08152492668621701,0.5785354586717741,9,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
23,1,0,0,0,1,0,1,0,NA,NA,1,0,0,NA,0.03235023041474654,-0.625,132.85714285714286,350,-350,350,-50,1,0.03235023041474654,0.564557603686636,10,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
