cell_id,green_space_id,tree_fraction,shrub_fraction,grass_fraction,built_fraction_wc,green_fraction_wc,water_fraction,impervious_fraction,osm_green_fraction,osm_ground_veg_fraction,osm_water_poly_fraction,path_km,ndvi_mean,ndvi_idx,canopy_height_m,canopy_height_idx,lst_rank,lst_idx,lst_celsius,heat_exposure,noise,light_pollution,osm_disturbance_idx,disturbance_idx,disturbance_index,water_proximity,habitat_quality,species_richness,richness_corrected,effort_corrected_richness,observed_richness,survey_effort_units,n_obs,species_shannon,n_survey_dates,weighted_observation_effort,has_structured_survey,weekend_only,temporal_bias_flag,plant,bird,insect,mammal,fungi,corridor_importance,connectivity_score,node_importance,betweenness_centrality,fragmentation_index,neighbor_fragmentation,edge_density,patch_isolation,patch_size_distribution,patch_area_ha,is_unsampled,habitat_component,connectivity_component,accessibility_component,expected_richness,ecological_residual,underperformance,ecological_residual_mean,ecological_residual_std,ecological_residual_normalized,bio_residual_norm,impact_score,habitat_quality_deficit,connectivity_deficit,nature_gap_score,intervention_score,composite,intervention_rank,connectivity_gain_pct,counterfactual_note,primary_action
13041,NA,0.25,0,0.25,0.5,0.5,0,0.37969369689623517,0,0,0,0.06621519347211305,0.25494271889328957,0.37911893241107464,0.10008459487479421,0.00333615316249314,0.2894736842105263,0.7105263157894737,44.32381248474121,0.2894736842105263,0.10961840753686083,0,0.7821023735841401,0.7821023735841401,0.7821023735841401,0.4639937094469222,0.4394000845743208,0,0,0,0,0.06411517541952277,0,NA,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0.026158408502001927,0.026158408502001927,NA,0.026158408502001927,NA,NA,NA,NA,NA,NA,FALSE,0.4394000845743208,0.026158408502001927,0.735569509500586,21.529425785026316,21.529425785026316,21.529425785026316,0.020054031497094473,52.10223679603766,0.4128301024336252,0.1408809922402852,7,0.5605999154256792,0.9738415914979981,43.3388789047446,0.14079387862456297,0.14079387862456297,1,3.842486651411139,Local 20m-hex connectivity graph rerun with candidate cell upgraded to habitat quality 1.0,Increase native plant diversity
12389,NA,0.4,0,0.2,0,0.6,0,0.008267839555628598,0,0,0,0.05160833207739075,0.5192180971304575,0.5993484142753813,1.1767087171253396,0.03922362390417799,0.7257247396566282,0.2742752603433718,46.41402053833008,0.7257247396566282,0.07750963449550019,0,0.531382696778454,0.531382696778454,0.531382696778454,0.32149804779358104,0.47840103448530585,0,0,0,0,0.05032073708049515,0,NA,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0.005417299346846702,0.005417299346846702,NA,0.005417299346846702,NA,NA,NA,NA,NA,NA,FALSE,0.47840103448530585,0.005417299346846702,0.5773110601322172,21.393309791076152,21.393309791076152,21.393309791076152,0.020054031497094473,52.10223679603766,0.4102176235398109,0.13999029703647678,7,0.5215989655146942,0.9945827006531534,42.53913783032773,0.028973490789521498,0.028973490789521498,2,4.402215431627201,Local 20m-hex connectivity graph rerun with candidate cell upgraded to habitat quality 1.0,Increase native plant diversity
10846,osm-green-space-95183768,1,0,0,0,1,0,0,0.8660254037845294,0.8660254037845294,0,0.06789748259673399,0.831018884976705,0.8591824041472542,3.033542693972421,0.1011180897990807,0.04095130875316634,0.9590486912468337,39.28551483154297,0.04095130875316634,0.020214535121646313,0,0.8798753775306765,0.8798753775306765,0.8798753775306765,0.40186040697346626,0.7295857969786567,1,15.222612628416776,15.222612628416776,15.222612628416776,0.0656917458526963,1,0,1,1,FALSE,TRUE,TRUE,0,0,0,0,1,0.0045713643892201835,0.0045713643892201835,NA,0.0045713643892201835,NA,NA,NA,NA,NA,NA,FALSE,0.7295857969786567,0.0045713643892201835,0.7536569144345115,31.565779788331305,16.34316715991453,16.34316715991453,0.020054031497094473,52.10223679603766,0.3132900645382426,0.10694393937059608,5,0.27041420302134334,0.9954286356107798,33.3681957713857,0.01867764309047651,0.01867764309047651,3,3.183336608370993,Local 20m-hex connectivity graph rerun with candidate cell upgraded to habitat quality 1.0,Increase native plant diversity
9543,osm-green-space-312888383,1,0,0,0,1,0,0,1,0.8660254037841293,0,0.05398169454012275,0.7595948129892349,0.7996623441576958,3.0339109497044676,0.10113036499014892,0.012454264002251619,0.9875457359977484,37.46322441101074,0.012454264002251619,0.002546725261651253,0.20491383494485993,0.8520160070698901,0.8520160070698901,0.8520160070698901,0.9658085166379836,0.7139378270612474,0,0,0,0,0.05257508235936022,0,NA,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0.0018280129782571688,0.0018280129782571688,NA,0.0018280129782571688,NA,NA,NA,NA,NA,NA,FALSE,0.7139378270612474,0.0018280129782571688,0.6031743232391106,29.77913073779338,29.77913073779338,29.77913073779338,0.020054031497094473,52.10223679603766,0.5711669697174968,0.1948641607205029,10,0.2860621729387526,0.9981719870217428,38.288512964622576,0.01360915936747582,0.01360915936747582,4,1.999266324284676,Local 20m-hex connectivity graph rerun with candidate cell upgraded to habitat quality 1.0,Increase native plant diversity
7372,osm-green-space-95183768,1,0,0,0,1,0,0.002687909407541156,0.8660254037832198,0.8660254037832198,0,0.05458041753501035,0.7369144856929779,0.7807620714108149,1.4353112049023242,0.04784370683007747,0.12749788910779622,0.8725021108922038,42.231231689453125,0.12749788910779622,0.024815172461749732,0,0.802254590062704,0.802254590062704,0.802254590062704,0.293993749469312,0.6822341571471591,0,0,0,0,0.05314297932340971,0,NA,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,7.83702197654965e-4,7.83702197654965e-4,NA,7.83702197654965e-4,NA,NA,NA,NA,NA,NA,FALSE,0.6822341571471591,7.83702197654965e-4,0.6096895934315331,28.71446057904819,28.71446057904819,28.71446057904819,0.020054031497094473,52.10223679603766,0.5507327192089628,0.18789733355705093,9,0.31776584285284093,0.999216297802345,38.91216791948467,0.005625896465069231,0.005625896465069231,5,-0.04948535233570315,Local 20m-hex connectivity graph rerun with candidate cell upgraded to habitat quality 1.0,Increase native plant diversity
4144,NA,0,0,0,0.7142857142857143,0,0,0.028835907087341184,0,0.09381539408484246,0,0.05636446432382107,0.18459869424502054,0.3204989118708505,2.263384014564569,0.07544613381881897,0.4004362510554461,0.5995637489445539,44.97183322906494,0.4004362510554461,0.18702464306681724,0.04790567308580147,0.7408951840924181,0.7408951840924181,0.7408951840924181,0.2860911459043116,0.3871731187377902,0,0,0,0,0.054833262408394846,0,NA,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0.0011927512849360213,0.0011927512849360213,NA,0.0011927512849360213,NA,NA,NA,NA,NA,NA,FALSE,0.3871731187377902,0.0011927512849360213,0.6290815812347992,18.58243943060823,18.58243943060823,18.58243943060823,0.020054031497094473,52.10223679603766,0.3562684932659704,0.12159694974539645,6,0.6128268812622097,0.998807248715064,44.4407988994374,0.005541057127025939,0.005541057127025939,6,2.223273415326394,Local 20m-hex connectivity graph rerun with candidate cell upgraded to habitat quality 1.0,Increase canopy and green cover
7270,osm-green-space-95183768,1,0,0,0,1,0,0.014960450440412387,0.8459669144415071,0.8459669144415071,0,0.06330119230381645,0.6843506842851639,0.7369589035709699,1.7992431496663672,0.05997477165554557,0.21608499859273853,0.7839150014072614,43.52449703216553,0.21608499859273853,0.05697438140691965,0,0.7460170771594664,0.7460170771594664,0.7460170771594664,0.29028466903777655,0.6470314876758358,0,0,0,0,0.06137840099828156,0,NA,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,5.613932753067227e-4,5.613932753067227e-4,NA,5.613932753067227e-4,NA,NA,NA,NA,NA,NA,FALSE,0.6470314876758358,5.613932753067227e-4,0.704171516662323,28.244676554002623,28.244676554002623,28.244676554002623,0.020054031497094473,52.10223679603766,0.5417161384643662,0.18482323208087106,9,0.35296851232416415,0.9994386067246933,39.81898910826235,0.003964092870157632,0.003964092870157632,7,2.8933092224231616,Local 20m-hex connectivity graph rerun with candidate cell upgraded to habitat quality 1.0,Increase native plant diversity
10029,osm-green-space-95183768,1,0,0,0,1,0,3.67801301763393e-4,0.8660254037839473,0.8660254037839473,0,0.05017971437094181,0.6940598636865616,0.745049886405468,0,0,0.11441035744441318,0.8855896425555868,41.918113708496094,0.11441035744441318,0.007362513238022956,0,0.70908211669796,0.70908211669796,0.70908211669796,0.2946949463568301,0.6880600080002683,0,0,0,0,0.04896130606757598,0,NA,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,4.97677785692557e-4,4.97677785692557e-4,NA,4.97677785692557e-4,NA,NA,NA,NA,NA,NA,FALSE,0.6880600080002683,4.97677785692557e-4,0.5617148148310096,28.52842230188493,28.52842230188493,28.52842230188493,0.020054031497094473,52.10223679603766,0.5471620802382879,0.1866799644853843,9,0.31193999199973166,0.9995023222143075,38.682244428547314,0.003549490510126063,0.003549490510126063,8,3.418217433888345,Local 20m-hex connectivity graph rerun with candidate cell upgraded to habitat quality 1.0,Increase native plant diversity
13194,NA,0,0,0,1,0,0,0.20812751725316048,0,0,0,0.06153692250292848,0.4206147789955139,0.5171789824962616,0.19280586135152125,0.006426862045050708,0.30368702504925416,0.6963129749507458,44.438411712646484,0.30368702504925416,0.13293757879555662,0,0.8143481920660479,0.8143481920660479,0.8143481920660479,0.4864924691455719,0.49746448898190987,0,0,0,0,0.059717784884489415,0,NA,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,5.127396382203337e-4,5.127396382203337e-4,NA,5.127396382203337e-4,NA,NA,NA,NA,NA,NA,FALSE,0.49746448898190987,5.127396382203337e-4,0.6851198869615811,22.87349685782061,22.87349685782061,22.87349685782061,0.020054031497094473,52.10223679603766,0.43862690417278793,0.14967612074336026,7,0.5025355110180901,0.9994872603617797,42.54961657494631,0.0029320371259282194,0.0029320371259282194,9,3.7222919280635876,Local 20m-hex connectivity graph rerun with candidate cell upgraded to habitat quality 1.0,Increase canopy and green cover
11254,osm-green-space-95183768,1,0,0,0,1,0,0.0095833666826365509,0.5445416263362763,0.5445416263362763,0,0.06034538225554274,0.6345159212748209,0.6954299343956842,1.5704987110986632,0.05234995703662211,0.08893892485223755,0.9110610751477625,41.147847493489586,0.08893892485223755,0.07943629353051311,0,0.8953559824968583,0.8953559824968583,0.8953559824968583,0.4833795254538521,0.6306722544357746,0,0,0,0,0.05859468736870431,0,NA,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,2.0898110957199493e-4,2.0898110957199493e-4,NA,2.0898110957199493e-4,NA,NA,NA,NA,NA,NA,FALSE,0.6306722544357746,2.0898110957199493e-4,0.6722350077827927,27.413156554054797,27.413156554054797,27.413156554054797,0.020054031497094473,52.10223679603766,0.5257567468704325,0.17938205757719405,9,0.36932774556422543,0.999791018890428,40.04475562359502,0.0014322079683842942,0.0014322079683842942,10,5.3910402429764535,Local 20m-hex connectivity graph rerun with candidate cell upgraded to habitat quality 1.0,Increase native plant diversity
